1,3,25,7,2,7,7
2,22,9,31,33,31,20
3,8,21,25,19,1,13
4,5,1,10,5,1,3
5,14,25,1,23,22,15
6,31,1,13,40,43,28
7,23,9,28,17,16,22
8,6,5,7,4,1,5
9,2,13,16,13,16,3
10,5,1,16,7,4,1
11,20,5,31,27,28,17
12,28,21,37,36,40,25
13,27,1,37,38,43,26
14,24,25,25,20,25,25
15,4,21,4,10,13,3
16,27,13,34,39,40,24
17,17,9,10,32,34,17
18,18,13,7,34,28,16
19,20,1,31,33,34,19
20,5,1,13,5,4,1
21,4,21,10,1,1,8
22,18,13,31,28,31,11
23,31,9,37,37,43,29
24,8,21,4,3,4,10
25,20,17,31,27,28,19
26,2,13,10,5,7,6
27,25,21,34,41,40,22
28,29,5,19,37,40,27
29,26,1,1,16,10,27
30,4,21,19,14,13,9
31,10,25,25,25,25,13
32,7,1,19,15,13,8
33,1,17,4,3,4,1
34,32,25,43,46,52,28
35,9,17,16,26,13,12
36,4,21,16,1,7,6
37,10,21,22,24,22,11
38,12,5,22,24,22,16
39,21,9,28,29,31,23
40,2,13,19,10,10,5
41,32,9,40,47,49,30
42,23,9,25,18,19,24
43,5,1,7,4,1,5
44,13,13,4,20,22,15
45,16,13,25,22,22,17
46,19,21,7,30,31,20
47,2,13,1,6,7,2
48,24,17,37,38,43,24
49,26,1,13,40,37,23
50,22,21,13,8,7,20
51,6,5,19,4,4,5
52,33,5,43,48,46,27
53,21,9,28,28,31,19
54,25,25,34,42,37,25
55,27,5,34,39,37,24
56,19,5,28,31,34,17
57,3,25,13,11,10,6
58,3,25,4,6,4,2
59,4,21,7,17,10,4
60,13,13,22,18,25,13
61,2,13,4,8,4,2
62,4,21,13,6,7,9
63,12,5,25,25,19,14
64,9,17,19,19,25,12
65,30,13,31,35,34,21
66,15,21,19,14,10,14
67,16,17,16,23,19,18
68,29,5,34,41,37,26
69,1,17,19,7,1,6
70,6,5,13,16,1,8
71,11,1,16,21,19,14
72,17,9,28,30,28,18
73,1,17,1,2,7,4
74,19,17,22,32,34,21
75,28,21,37,43,43,23
76,5,1,1,12,13,2
77,30,17,7,9,16,26
78,7,17,1,14,10,9
79,34,25,43,44,49,20
80,6,5,4,15,16,4
81,5,1,16,17,16,7
82,15,13,22,26,25,18
83,7,1,16,13,16,11
84,21,9,1,12,13,21
85,16,5,13,16,10,12
86,11,1,7,22,19,10
87,14,25,4,11,13,15
88,3,25,1,10,16,7
89,35,17,40,49,52,29
90,33,13,40,45,49,25
